index,uuid,driver_version,name,gpu_serial,display_active,display_mode
0,GPU-43db14ef-15e7-0c43-1a35-c81191c2a009,546.17,NVIDIA GeForce RTX 4070,[N/A],Enabled,Enabled

pid,process_name,gpu_uuid,gpu_name,used_memory
index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
0,0,12282,10445,1580,2024/03/11 19:06:54.888
0,0,12282,10445,1580,2024/03/11 19:07:24.935
0,0,12282,10445,1580,2024/03/11 19:07:54.979
0,65,12282,10445,1580,2024/03/11 19:08:25.026
0,0,12282,10445,1580,2024/03/11 19:08:55.065
0,0,12282,10445,1580,2024/03/11 19:09:25.109
0,0,12282,10445,1580,2024/03/11 19:09:55.154
0,1,12282,10449,1576,2024/03/11 19:10:25.206
0,0,12282,10449,1576,2024/03/11 19:10:55.259
0,0,12282,10449,1576,2024/03/11 19:11:25.299
0,0,12282,10449,1576,2024/03/11 19:11:55.352
0,85,12282,10449,1576,2024/03/11 19:12:25.395
0,0,12282,10449,1576,2024/03/11 19:12:55.443
0,31,12282,10449,1576,2024/03/11 19:13:25.485
0,79,12282,10449,1576,2024/03/11 19:13:55.533
0,0,12282,10449,1576,2024/03/11 19:14:25.573
0,0,12282,10449,1576,2024/03/11 19:14:55.628
0,92,12282,10449,1576,2024/03/11 19:15:25.670
0,0,12282,10449,1576,2024/03/11 19:15:55.726
0,44,12282,10449,1576,2024/03/11 19:16:25.772
0,2,12282,10449,1576,2024/03/11 19:16:55.825
0,0,12282,10449,1576,2024/03/11 19:17:25.878
0,3,12282,10449,1576,2024/03/11 19:17:55.931
0,86,12282,10449,1576,2024/03/11 19:18:25.983
0,0,12282,10449,1576,2024/03/11 19:18:56.026
0,0,12282,10449,1576,2024/03/11 19:19:26.072
0,3,12282,10449,1576,2024/03/11 19:19:56.121
0,1,12282,10449,1576,2024/03/11 19:20:26.172
0,11,12282,10449,1576,2024/03/11 19:20:56.215
0,4,12282,10449,1576,2024/03/11 19:21:26.259
0,10,12282,10449,1576,2024/03/11 19:21:56.305
0,19,12282,10449,1576,2024/03/11 19:22:26.356
0,2,12282,10449,1576,2024/03/11 19:22:56.406
0,63,12282,10449,1576,2024/03/11 19:23:26.463
0,68,12282,10449,1576,2024/03/11 19:23:56.513
0,77,12282,10449,1576,2024/03/11 19:24:26.562
0,0,12282,10449,1576,2024/03/11 19:24:56.617
0,0,12282,10449,1576,2024/03/11 19:25:26.665
0,1,12282,10449,1576,2024/03/11 19:25:56.713
0,0,12282,10449,1576,2024/03/11 19:26:26.768
0,1,12282,10449,1576,2024/03/11 19:26:56.822
0,4,12282,10449,1576,2024/03/11 19:27:26.868
0,0,12282,10449,1576,2024/03/11 19:27:56.926
0,21,12282,10449,1576,2024/03/11 19:28:26.975
0,23,12282,10449,1576,2024/03/11 19:28:57.028
0,69,12282,10449,1576,2024/03/11 19:29:27.075
0,0,12282,10449,1576,2024/03/11 19:29:57.118
0,0,12282,10449,1576,2024/03/11 19:30:27.171
0,0,12282,10449,1576,2024/03/11 19:30:57.221
0,4,12282,10449,1576,2024/03/11 19:31:27.269
0,0,12282,10449,1576,2024/03/11 19:31:57.328
0,0,12282,10449,1576,2024/03/11 19:32:27.372
0,0,12282,10449,1576,2024/03/11 19:32:57.415
0,20,12282,10449,1576,2024/03/11 19:33:27.471
0,14,12282,10449,1576,2024/03/11 19:33:57.523
0,18,12282,10449,1576,2024/03/11 19:34:27.577
0,14,12282,10449,1576,2024/03/11 19:34:57.634
0,0,12282,10449,1576,2024/03/11 19:35:27.679
0,90,12282,10449,1576,2024/03/11 19:35:57.732
0,0,12282,10449,1576,2024/03/11 19:36:27.784
0,0,12282,10449,1576,2024/03/11 19:36:57.828
0,22,12282,10449,1576,2024/03/11 19:37:27.875
0,0,12282,10449,1576,2024/03/11 19:37:57.924
0,1,12282,10449,1576,2024/03/11 19:38:27.973
0,88,12282,10449,1576,2024/03/11 19:38:58.024
0,1,12282,10449,1576,2024/03/11 19:39:28.098
0,1,12282,10449,1576,2024/03/11 19:39:58.139
0,0,12282,10449,1576,2024/03/11 19:40:28.186
0,0,12282,10449,1576,2024/03/11 19:40:58.227
0,68,12282,10449,1576,2024/03/11 19:41:28.272
0,0,12282,10449,1576,2024/03/11 19:41:58.330
0,1,12282,10449,1576,2024/03/11 19:42:28.372
0,1,12282,10449,1576,2024/03/11 19:42:58.420
0,0,12282,10449,1576,2024/03/11 19:43:28.473
0,0,12282,10449,1576,2024/03/11 19:43:58.525
0,83,12282,10449,1576,2024/03/11 19:44:28.574
0,0,12282,10452,1573,2024/03/11 19:44:58.632
0,11,12282,10452,1573,2024/03/11 19:45:28.682
0,16,12282,10452,1573,2024/03/11 19:45:58.738
0,0,12282,10452,1573,2024/03/11 19:46:28.793
0,4,12282,10452,1573,2024/03/11 19:46:58.844
0,85,12282,10452,1573,2024/03/11 19:47:28.889
0,0,12282,10452,1573,2024/03/11 19:47:58.933
0,0,12282,10452,1573,2024/03/11 19:48:28.979
0,0,12282,10452,1573,2024/03/11 19:48:59.026
0,7,12282,10452,1573,2024/03/11 19:49:29.078
0,47,12282,10452,1573,2024/03/11 19:49:59.133
0,14,12282,10452,1573,2024/03/11 19:50:29.187
0,0,12282,10452,1573,2024/03/11 19:50:59.231
0,82,12282,10452,1573,2024/03/11 19:51:29.280
0,1,12282,10452,1573,2024/03/11 19:51:59.338
0,2,12282,10452,1573,2024/03/11 19:52:29.377
0,7,12282,10452,1573,2024/03/11 19:52:59.428
0,4,12282,10452,1573,2024/03/11 19:53:29.470
0,0,12282,10452,1573,2024/03/11 19:53:59.517
0,13,12282,10452,1573,2024/03/11 19:54:29.561
0,97,12282,10452,1573,2024/03/11 19:54:59.652
0,0,12282,10452,1573,2024/03/11 19:55:29.734
0,0,12282,10452,1573,2024/03/11 19:55:59.781
0,10,12282,10452,1573,2024/03/11 19:56:29.832
0,80,12282,10452,1573,2024/03/11 19:56:59.890
0,8,12282,10452,1573,2024/03/11 19:57:29.936
0,73,12282,10452,1573,2024/03/11 19:57:59.982
0,7,12282,10452,1573,2024/03/11 19:58:30.030
0,0,12282,10452,1573,2024/03/11 19:59:00.073
0,78,12282,10452,1573,2024/03/11 19:59:30.122
0,45,12282,10452,1573,2024/03/11 20:00:00.166
0,4,12282,10452,1573,2024/03/11 20:00:30.217
0,2,12282,10452,1573,2024/03/11 20:01:00.273
0,53,12282,10452,1573,2024/03/11 20:01:30.328
0,1,12282,10452,1573,2024/03/11 20:02:00.379
0,0,12282,10452,1573,2024/03/11 20:02:30.431
0,0,12282,10452,1573,2024/03/11 20:03:00.483
